% Model:              optimization.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jun 18 2016, 15:59
% Table:              Objective Table 2 - 
% d_nr_max               Objective
3                        0.9381762731746723
3.3                      0.959863086828321
3.5999999999999996       0.9466618659611913
3.4499999999999997       0.961540770558474
3.5999999999999996       0.9466618659611925
3.375                    0.9633442353334507
3.3000000000000003       0.959863086828323
3.4124999999999996       0.9631362950947431
3.3375000000000004       0.9621805028146283
3.39375                  0.9634177410430038
3.4124999999999996       0.9631362950947382
3.384375                 0.963425128811185
3.375                    0.9633442353334494
3.3890624999999996       0.9634325321092099
3.3937499999999994       0.9634177410430046
3.38671875               0.9634315990919766
3.3890624999999996       0.9634325321092108
